Title,Title_URL,Image,_3lwzlk,_2_r_dz,_2_r_dz1,rgwa7d,rgwa7d2,rgwa7d3,rgwa7d4,_30jeq3,_3i9_wc,,,
SAMSUNG 27 inch Curved Full HD LED Backlit VA Panel Gaming Monitor (LC27G75TQSWXXL),https://www.flipkart.com/samsung-27-inch-curved-full-hd-led-backlit-va-panel-gaming-monitor-lc27g75tqswxxl/p/itm3adff8142f2b3?pid=MONFZBH2YDXDNRUD&lid=LSTMONFZBH2YDXDNRUDMX67JC&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&iid=en_cZHpFK%2FrjHskeIET063rZF9YOUnf9nSS9zV%2FHGHgATlfyhUBFuPirJnOWBm1TIdUZcocBq2SZY3eGJ8Lj1%2Bsbg%3D%3D&ssid=k11o8nwa6o0000001657562206800&qH=08b5411f848a2581,https://rukminim1.flixcart.com/image/312/312/kkec4280/monitor/u/g/c/lc27g75tqswxxl-lc27g75tqswxxl-samsung-original-imafzqvfcahbarfg.jpeg?q=70,4.5,15 Ratings,4 Reviews,Panel Type: VA Panel,Screen Resolution Type: Full HD,Brightness: 600 Units,Response Time: 1 ms | Refresh Rate: 240 Hz,"?42,199","?66,000",,,
"SAMSUNG Odyssey G7 28 inch UHD IPS Panel with HAS,3-Sided Borderless, HDR400, Low Input lag, Flat Gami...",https://www.flipkart.com/samsung-odyssey-g7-28-inch-uhd-ips-panel-has-3-sided-borderless-hdr400-low-input-lag-flat-gaming-monitor-ls28ag700nwxxl/p/itm49b78244fdc08?pid=MONGCZSTVDJCJVJE&lid=LSTMONGCZSTVDJCJVJEY0DMYY&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_2&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&iid=en_cZHpFK%2FrjHskeIET063rZF9YOUnf9nSS9zV%2FHGHgATmI0YoGnqUaAHe0skqjYXY04qR4YfKygvy9wzoppmhgpQ%3D%3D&ssid=k11o8nwa6o0000001657562206800&qH=08b5411f848a2581,https://rukminim1.flixcart.com/image/312/312/l1b1oy80/monitor/r/n/n/ls28ag700nwxxl-uhd-28-ls28ag700nwxxl-samsung-original-imagcwkrwgpchnzg.jpeg?q=70,,,,Panel Type: IPS Panel,Screen Resolution Type: UHD,Brightness: 300 nits,Response Time: 1 ms | Refresh Rate: 144 Hz,"?49,999","?75,000",,,
Acer V196HQL 18.5 inch LED Backlit LCD Monitor,https://www.flipkart.com/acer-v196hql-18-5-inch-led-backlit-lcd-monitor/p/itm75a2889dc89bd?pid=MONDV8H3WCPDXZYR&lid=LSTMONDV8H3WCPDXZYRJ8BXHW&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_3&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&iid=515aa6be-6f25-4891-ab01-f7320963f567.MONDV8H3WCPDXZYR.SEARCH&ssid=k11o8nwa6o0000001657562206800&qH=08b5411f848a2581,https://rukminim1.flixcart.com/image/312/312/monitor/z/y/r/acer-v196hql-original-imadv9zq3ccmnh9r.jpeg?q=70,4.3,"15,999 Ratings","2,654 Reviews",Panel Type: TN Panel,Screen Resolution Type: HD,VGA Support,Brightness: 200 nits,"?6,599","?11,600",,,
"ZEBRONICS 18.5 inch HD TN Panel HDMI, VGA Input, HD 1366 x 768, 16.7M Colors, Glossy Panel, Slim Desig...",https://www.flipkart.com/zebronics-18-5-inch-hd-tn-panel-hdmi-vga-input-1366-x-768-16-7m-colors-glossy-panel-slim-design-wall-mountable-monitor-zeb-v19hd-led/p/itmcd404240dd818?pid=MONG6Z8GQEHKGZKF&lid=LSTMONG6Z8GQEHKGZKFFPHMJ5&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&spotlightTagId=BestsellerId_6bo%2Fg0i%2F9no&srno=s_1_4&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&iid=515aa6be-6f25-4891-ab01-f7320963f567.MONG6Z8GQEHKGZKF.SEARCH&ssid=k11o8nwa6o0000001657562206800&qH=08b5411f848a2581,https://rukminim1.flixcart.com/image/312/312/ktuewsw0/monitor/i/l/x/zeb-v19hd-led-hd-18-5-zeb-v19hd-led-zebronics-original-imag73hbg3zhz3zx.jpeg?q=70,4.1,"3,003 Ratings",351 Reviews,Panel Type: TN Panel,Screen Resolution Type: HD,Response Time: 8 ms,1 year carry into service center,"?5,399","?6,999",,,
SAMSUNG 22 inch Full HD IPS Panel Monitor (LF22T354FHWXXL),https://www.flipkart.com/samsung-22-inch-full-hd-ips-panel-monitor-lf22t354fhwxxl/p/itm8dcc388bd901f?pid=MONGAQTQKCEZGVSC&lid=LSTMONGAQTQKCEZGVSCG4LB7V&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_5&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&iid=515aa6be-6f25-4891-ab01-f7320963f567.MONGAQTQKCEZGVSC.SEARCH&ssid=k11o8nwa6o0000001657562206800&qH=08b5411f848a2581,https://rukminim1.flixcart.com/image/312/312/kynb6vk0/monitor/1/n/s/lf22t354fhwxxl-full-hd-22-lf22t354fhwxxl-samsung-original-imagats2rjbg9uhv.jpeg?q=70,4.4,"1,611 Ratings",233 Reviews,Panel Type: IPS Panel,Screen Resolution Type: Full HD,Brightness: 250 nits,Response Time: 5 ms | Refresh Rate: 75 Hz,"?10,199","?17,290",,,
MarQ By Flipkart 22 inch Full HD LED Backlit VA Panel with 2 X 3W Inbuilt Speakers Monitor (22FHDMVQII...,https://www.flipkart.com/marq-flipkart-22-inch-full-hd-led-backlit-va-panel-2-x-3w-inbuilt-speakers-monitor-22fhdmvqiihb/p/itmd9f00e61abf4d?pid=MONGAYHGFUFM2HW5&lid=LSTMONGAYHGFUFM2HW5IKLUQ3&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_6&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&iid=515aa6be-6f25-4891-ab01-f7320963f567.MONGAYHGFUFM2HW5.SEARCH&ssid=k11o8nwa6o0000001657562206800&qH=08b5411f848a2581,https://rukminim1.flixcart.com/image/312/312/l3t2fm80/monitor/m/e/j/-original-imageudynqghyhxh.jpeg?q=70,4.4,75 Ratings,14 Reviews,Panel Type: VA Panel,Screen Resolution Type: Full HD,Brightness: 220 nits,Response Time: 5 ms | Refresh Rate: 75 Hz,"?8,499","?12,499",,,
acer 23.8 inch Full HD LED Backlit VA Panel Gaming Monitor (QG241Y),https://www.flipkart.com/acer-23-8-inch-full-hd-led-backlit-va-panel-gaming-monitor-qg241y/p/itma36bf4e2a6040?pid=MONGENEYG4FUHTWC&lid=LSTMONGENEYG4FUHTWC1V2RVW&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_7&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&iid=515aa6be-6f25-4891-ab01-f7320963f567.MONGENEYG4FUHTWC.SEARCH&ssid=k11o8nwa6o0000001657562206800&qH=08b5411f848a2581,https://rukminim1.flixcart.com/image/312/312/l432ikw0/monitor/o/j/t/qg241y-full-hd-23-8-um-qq1ss-001-acer-original-imagf2cbq6wwrdzg.jpeg?q=70,4.3,36 Ratings,6 Reviews,Panel Type: VA Panel,Screen Resolution Type: Full HD,Brightness: 250 nits,Response Time: 1 ms | Refresh Rate: 75 Hz,"?9,699","?11,800",,,
SAMSUNG Odyssey G7 1000R 32 inch Curved Full HD LED Backlit VA Panel Gaming Monitor (LC32G75TQSWXXL),https://www.flipkart.com/samsung-odyssey-g7-1000r-32-inch-curved-full-hd-led-backlit-va-panel-gaming-monitor-lc32g75tqswxxl/p/itm4173c3d314a29?pid=MONFZBH2YHZKPMME&lid=LSTMONFZBH2YHZKPMME7PH2AK&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_8&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&iid=en_cZHpFK%2FrjHskeIET063rZF9YOUnf9nSS9zV%2FHGHgATkIO7tgt2ZdxifxtRaDh9VOtJmgRu4HhuOLYjsDpdNLwQ%3D%3D&ssid=k11o8nwa6o0000001657562206800&qH=08b5411f848a2581,https://rukminim1.flixcart.com/image/312/312/kkec4280/monitor/k/j/3/lc32g75tqswxxl-lc32g75tqswxxl-samsung-original-imafzqvfsxddw8kw.jpeg?q=70,4.7,7 Ratings,0 Reviews,Panel Type: VA Panel,Screen Resolution Type: Full HD,Brightness: 350 nits,Response Time: 1 ms | Refresh Rate: 240 Hz,"?45,999","?72,000",,,
SAMSUNG 24 inch Full HD LED Backlit IPS Panel Monitor (LF24T350FHWXXL),https://www.flipkart.com/samsung-24-inch-full-hd-led-backlit-ips-panel-monitor-lf24t350fhwxxl/p/itm4e2d885641901?pid=MONFYGGACKSJX4MS&lid=LSTMONFYGGACKSJX4MSSUIOO3&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_9&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&iid=515aa6be-6f25-4891-ab01-f7320963f567.MONFYGGACKSJX4MS.SEARCH&ssid=k11o8nwa6o0000001657562206800&qH=08b5411f848a2581,https://rukminim1.flixcart.com/image/312/312/kiyw9e80/monitor/4/m/s/lf24t350fhwxxl-lf24t350fhwxxl-samsung-original-imafyne6fcqahmmn.jpeg?q=70,4.4,"1,611 Ratings",233 Reviews,Panel Type: IPS Panel,Screen Resolution Type: Full HD,Response Time: 5 ms | Refresh Rate: 75 Hz,3 Years Warranty,"?11,499","?19,100",,,
acer 23.8 inch Full HD LED Backlit IPS Panel Monitor (HA240Y),https://www.flipkart.com/acer-23-8-inch-full-hd-led-backlit-ips-panel-monitor-ha240y/p/itmfbeg6j2gmkhfu?pid=MONFBEG6RFZ4VSA6&lid=LSTMONFBEG6RFZ4VSA6YEJBGD&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_10&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&iid=515aa6be-6f25-4891-ab01-f7320963f567.MONFBEG6RFZ4VSA6.SEARCH&ssid=k11o8nwa6o0000001657562206800&qH=08b5411f848a2581,https://rukminim1.flixcart.com/image/312/312/ks0onm80/monitor/8/k/l/ha240y-um-hw0si-a01-acer-original-imag5zjzfcfgzydm.jpeg?q=70,4.5,"1,454 Ratings",282 Reviews,Panel Type: IPS Panel,Screen Resolution Type: Full HD,Brightness: 250 nits,Response Time: 4 ms | Refresh Rate: 75 Hz,"?11,699","?13,532",,,
SAMSUNG 27 inch Curved Full HD LED Backlit VA Panel Gaming Monitor (LC27G75TQSWXXL),https://www.flipkart.com/samsung-27-inch-curved-full-hd-led-backlit-va-panel-gaming-monitor-lc27g75tqswxxl/p/itm3adff8142f2b3?pid=MONFZBH2YDXDNRUD&lid=LSTMONFZBH2YDXDNRUDMX67JC&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&iid=en_cZHpFK%2FrjHskeIET063rZF9YOUnf9nSS9zV%2FHGHgATlfyhUBFuPirJnOWBm1TIdUZcocBq2SZY3eGJ8Lj1%2Bsbg%3D%3D&ssid=k11o8nwa6o0000001657562206800&qH=08b5411f848a2581,https://rukminim1.flixcart.com/image/312/312/kkec4280/monitor/u/g/c/lc27g75tqswxxl-lc27g75tqswxxl-samsung-original-imafzqvfcahbarfg.jpeg?q=70,4.5,15 Ratings,4 Reviews,Panel Type: VA Panel,Screen Resolution Type: Full HD,Brightness: 600 Units,Response Time: 1 ms | Refresh Rate: 240 Hz,"?42,199","?66,000",,,
Acer V196HQL 18.5 inch LED Backlit LCD Monitor,https://www.flipkart.com/acer-v196hql-18-5-inch-led-backlit-lcd-monitor/p/itm75a2889dc89bd?pid=MONDV8H3WCPDXZYR&lid=LSTMONDV8H3WCPDXZYRJ8BXHW&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_3&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&iid=515aa6be-6f25-4891-ab01-f7320963f567.MONDV8H3WCPDXZYR.SEARCH&ssid=k11o8nwa6o0000001657562206800&qH=08b5411f848a2581,https://rukminim1.flixcart.com/image/312/312/monitor/z/y/r/acer-v196hql-original-imadv9zq3ccmnh9r.jpeg?q=70,4.3,"15,999 Ratings","2,654 Reviews",Panel Type: TN Panel,Screen Resolution Type: HD,VGA Support,Brightness: 200 nits,"?6,599","?11,600",,,
"ZEBRONICS 18.5 inch HD TN Panel HDMI, VGA Input, HD 1366 x 768, 16.7M Colors, Glossy Panel, Slim Desig...",https://www.flipkart.com/zebronics-18-5-inch-hd-tn-panel-hdmi-vga-input-1366-x-768-16-7m-colors-glossy-panel-slim-design-wall-mountable-monitor-zeb-v19hd-led/p/itmcd404240dd818?pid=MONG6Z8GQEHKGZKF&lid=LSTMONG6Z8GQEHKGZKFFPHMJ5&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&spotlightTagId=BestsellerId_6bo%2Fg0i%2F9no&srno=s_1_4&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&iid=515aa6be-6f25-4891-ab01-f7320963f567.MONG6Z8GQEHKGZKF.SEARCH&ssid=k11o8nwa6o0000001657562206800&qH=08b5411f848a2581,https://rukminim1.flixcart.com/image/312/312/ktuewsw0/monitor/i/l/x/zeb-v19hd-led-hd-18-5-zeb-v19hd-led-zebronics-original-imag73hbg3zhz3zx.jpeg?q=70,4.1,"3,003 Ratings",351 Reviews,Panel Type: TN Panel,Screen Resolution Type: HD,Response Time: 8 ms,1 year carry into service center,"?5,399","?6,999",,,
SAMSUNG 22 inch Full HD IPS Panel Monitor (LF22T354FHWXXL),https://www.flipkart.com/samsung-22-inch-full-hd-ips-panel-monitor-lf22t354fhwxxl/p/itm8dcc388bd901f?pid=MONGAQTQKCEZGVSC&lid=LSTMONGAQTQKCEZGVSCG4LB7V&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_5&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&iid=515aa6be-6f25-4891-ab01-f7320963f567.MONGAQTQKCEZGVSC.SEARCH&ssid=k11o8nwa6o0000001657562206800&qH=08b5411f848a2581,https://rukminim1.flixcart.com/image/312/312/kynb6vk0/monitor/1/n/s/lf22t354fhwxxl-full-hd-22-lf22t354fhwxxl-samsung-original-imagats2rjbg9uhv.jpeg?q=70,4.4,"1,611 Ratings",233 Reviews,Panel Type: IPS Panel,Screen Resolution Type: Full HD,Brightness: 250 nits,Response Time: 5 ms | Refresh Rate: 75 Hz,"?10,199","?17,290",,,
MarQ By Flipkart 22 inch Full HD LED Backlit VA Panel with 2 X 3W Inbuilt Speakers Monitor (22FHDMVQII...,https://www.flipkart.com/marq-flipkart-22-inch-full-hd-led-backlit-va-panel-2-x-3w-inbuilt-speakers-monitor-22fhdmvqiihb/p/itmd9f00e61abf4d?pid=MONGAYHGFUFM2HW5&lid=LSTMONGAYHGFUFM2HW5IKLUQ3&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_6&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&iid=515aa6be-6f25-4891-ab01-f7320963f567.MONGAYHGFUFM2HW5.SEARCH&ssid=k11o8nwa6o0000001657562206800&qH=08b5411f848a2581,https://rukminim1.flixcart.com/image/312/312/l3t2fm80/monitor/m/e/j/-original-imageudynqghyhxh.jpeg?q=70,4.4,75 Ratings,14 Reviews,Panel Type: VA Panel,Screen Resolution Type: Full HD,Brightness: 220 nits,Response Time: 5 ms | Refresh Rate: 75 Hz,"?8,499","?12,499",,,
acer 23.8 inch Full HD LED Backlit VA Panel Gaming Monitor (QG241Y),https://www.flipkart.com/acer-23-8-inch-full-hd-led-backlit-va-panel-gaming-monitor-qg241y/p/itma36bf4e2a6040?pid=MONGENEYG4FUHTWC&lid=LSTMONGENEYG4FUHTWC1V2RVW&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_7&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&iid=515aa6be-6f25-4891-ab01-f7320963f567.MONGENEYG4FUHTWC.SEARCH&ssid=k11o8nwa6o0000001657562206800&qH=08b5411f848a2581,https://rukminim1.flixcart.com/image/312/312/l432ikw0/monitor/o/j/t/qg241y-full-hd-23-8-um-qq1ss-001-acer-original-imagf2cbq6wwrdzg.jpeg?q=70,4.3,36 Ratings,6 Reviews,Panel Type: VA Panel,Screen Resolution Type: Full HD,Brightness: 250 nits,Response Time: 1 ms | Refresh Rate: 75 Hz,"?9,699","?11,800",,,
SAMSUNG Odyssey G7 1000R 32 inch Curved Full HD LED Backlit VA Panel Gaming Monitor (LC32G75TQSWXXL),https://www.flipkart.com/samsung-odyssey-g7-1000r-32-inch-curved-full-hd-led-backlit-va-panel-gaming-monitor-lc32g75tqswxxl/p/itm4173c3d314a29?pid=MONFZBH2YHZKPMME&lid=LSTMONFZBH2YHZKPMME7PH2AK&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_8&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&iid=en_cZHpFK%2FrjHskeIET063rZF9YOUnf9nSS9zV%2FHGHgATkIO7tgt2ZdxifxtRaDh9VOtJmgRu4HhuOLYjsDpdNLwQ%3D%3D&ssid=k11o8nwa6o0000001657562206800&qH=08b5411f848a2581,https://rukminim1.flixcart.com/image/312/312/kkec4280/monitor/k/j/3/lc32g75tqswxxl-lc32g75tqswxxl-samsung-original-imafzqvfsxddw8kw.jpeg?q=70,4.7,7 Ratings,0 Reviews,Panel Type: VA Panel,Screen Resolution Type: Full HD,Brightness: 350 nits,Response Time: 1 ms | Refresh Rate: 240 Hz,"?45,999","?72,000",,,
SAMSUNG 24 inch Full HD LED Backlit IPS Panel Monitor (LF24T350FHWXXL),https://www.flipkart.com/samsung-24-inch-full-hd-led-backlit-ips-panel-monitor-lf24t350fhwxxl/p/itm4e2d885641901?pid=MONFYGGACKSJX4MS&lid=LSTMONFYGGACKSJX4MSSUIOO3&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_9&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&iid=515aa6be-6f25-4891-ab01-f7320963f567.MONFYGGACKSJX4MS.SEARCH&ssid=k11o8nwa6o0000001657562206800&qH=08b5411f848a2581,https://rukminim1.flixcart.com/image/312/312/kiyw9e80/monitor/4/m/s/lf24t350fhwxxl-lf24t350fhwxxl-samsung-original-imafyne6fcqahmmn.jpeg?q=70,4.4,"1,611 Ratings",233 Reviews,Panel Type: IPS Panel,Screen Resolution Type: Full HD,Response Time: 5 ms | Refresh Rate: 75 Hz,3 Years Warranty,"?11,499","?19,100",,,
acer 23.8 inch Full HD LED Backlit IPS Panel Monitor (HA240Y),https://www.flipkart.com/acer-23-8-inch-full-hd-led-backlit-ips-panel-monitor-ha240y/p/itmfbeg6j2gmkhfu?pid=MONFBEG6RFZ4VSA6&lid=LSTMONFBEG6RFZ4VSA6YEJBGD&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_10&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&iid=515aa6be-6f25-4891-ab01-f7320963f567.MONFBEG6RFZ4VSA6.SEARCH&ssid=k11o8nwa6o0000001657562206800&qH=08b5411f848a2581,https://rukminim1.flixcart.com/image/312/312/ks0onm80/monitor/8/k/l/ha240y-um-hw0si-a01-acer-original-imag5zjzfcfgzydm.jpeg?q=70,4.5,"1,454 Ratings",282 Reviews,Panel Type: IPS Panel,Screen Resolution Type: Full HD,Brightness: 250 nits,Response Time: 4 ms | Refresh Rate: 75 Hz,"?11,699","?13,532",,,
acer Nitro 23.8 inch Full HD LED Backlit IPS Panel Gaming Monitor (VG240Y),https://www.flipkart.com/acer-nitro-23-8-inch-full-hd-led-backlit-ips-panel-gaming-monitor-vg240y/p/itm0cedfb5040f99?pid=MONFZA9NKSTZCQFP&lid=LSTMONFZA9NKSTZCQFPU3PAYU&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_11&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&iid=515aa6be-6f25-4891-ab01-f7320963f567.MONFZA9NKSTZCQFP.SEARCH&ssid=k11o8nwa6o0000001657562206800&qH=08b5411f848a2581,https://rukminim1.flixcart.com/image/312/312/kk76wsw0/monitor/z/j/2/vg240ys-um-qv0ss-s01-acer-original-imafzhrx7chh7cbg.jpeg?q=70,4.5,997 Ratings,148 Reviews,Panel Type: IPS Panel,Screen Resolution Type: Full HD,Brightness: 250 Nits,Response Time: 0.5 ms | Refresh Rate: 165 Hz,"?13,830","?17,500",,,
"ViewSonic 24 inch Full HD LED Backlit IPS Panel Tilt, Swivel , Pivot , Height Adjustable Gaming Monito...",https://www.flipkart.com/viewsonic-24-inch-full-hd-led-backlit-ips-panel-tilt-swivel-pivot-height-adjustable-gaming-monitor-xg2405/p/itmd9b56335d36b1?pid=MONFUEVA4TRHZVVQ&lid=LSTMONFUEVA4TRHZVVQTDFSWY&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_12&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&iid=en_cZHpFK%2FrjHskeIET063rZF9YOUnf9nSS9zV%2FHGHgATmX5wfWuYETkERNQmQ5JVzFt3aMqWoP7NmUKGKjCEKKjA%3D%3D&ssid=k11o8nwa6o0000001657562206800&qH=08b5411f848a2581,https://rukminim1.flixcart.com/image/312/312/ku2zjww0/monitor/w/f/w/xg2405-full-hd-xg2405-viewsonic-original-imag7a3zk9xs6hm7.jpeg?q=70,4.6,169 Ratings,34 Reviews,Panel Type: IPS Panel,Screen Resolution Type: Full HD,Response Time: 1 ms | Refresh Rate: 144 Hz,HDMI Ports - 2,"?19,999","?24,150",,,
"BenQ 27 inch Full HD LED Backlit IPS Panel Frameless, Flicker-Free, Built-In Speakers Monitor (GW2780)",https://www.flipkart.com/benq-27-inch-full-hd-led-backlit-ips-panel-frameless-flicker-free-built-in-speakers-monitor-gw2780/p/itm1b2d1797fe4be?pid=MONEXFVGBMHHDTPG&lid=LSTMONEXFVGBMHHDTPG6NUB5V&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_13&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&iid=515aa6be-6f25-4891-ab01-f7320963f567.MONEXFVGBMHHDTPG.SEARCH&ssid=k11o8nwa6o0000001657562206800&qH=08b5411f848a2581,https://rukminim1.flixcart.com/image/312/312/kkfrjww0/monitor/k/y/u/gw2780-na-benq-original-imafzs3hhv2wtcsd.jpeg?q=70,4.5,"4,212 Ratings",669 Reviews,Panel Type: IPS Panel,Screen Resolution Type: Full HD,Brightness: 250 nits,Response Time: 5 ms | Refresh Rate: 60 Hz,"?14,990","?19,990",,,
MarQ By Flipkart 27 inch Full HD LED Backlit AHVA Panel with 2 X 3W Inbuilt Speakers Monitor (27FHDMIQ...,https://www.flipkart.com/marq-flipkart-27-inch-full-hd-led-backlit-ahva-panel-2-x-3w-inbuilt-speakers-monitor-27fhdmiqiibb/p/itm34e9681a05beb?pid=MONGAYHGFHYHAFNS&lid=LSTMONGAYHGFHYHAFNSBHS3I0&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_14&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&iid=515aa6be-6f25-4891-ab01-f7320963f567.MONGAYHGFHYHAFNS.SEARCH&ssid=k11o8nwa6o0000001657562206800&qH=08b5411f848a2581,https://rukminim1.flixcart.com/image/312/312/l3xcr680/monitor/f/g/n/-original-imagexykfchnuf9p.jpeg?q=70,4.4,75 Ratings,14 Reviews,Panel Type: AHVA Panel,Screen Resolution Type: Full HD,Brightness: 250 nits,Response Time: 5 ms | Refresh Rate: 75 Hz,"?11,699","?18,999",,,
"SAMSUNG 23.8 inch Curved Full HD LED Backlit VA Panel with 1800R Curvature, Game Mode Function, Eye-Sa...",https://www.flipkart.com/samsung-23-8-inch-curved-full-hd-led-backlit-va-panel-1800r-curvature-game-mode-function-eye-saver-mode-flicker-free-technology-super-slim-monitor-lc24f390fhwxxl/p/itmezu53yhwg2ayg?pid=MONEZU4Z8BYBV2GZ&lid=LSTMONEZU4Z8BYBV2GZGGVTPD&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_15&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&iid=515aa6be-6f25-4891-ab01-f7320963f567.MONEZU4Z8BYBV2GZ.SEARCH&ssid=k11o8nwa6o0000001657562206800&qH=08b5411f848a2581,https://rukminim1.flixcart.com/image/312/312/l0cr4i80/monitor/h/9/j/-original-imagc5h2xarnghhz.jpeg?q=70,4.5,"2,909 Ratings",507 Reviews,Panel Type: VA Panel,Screen Resolution Type: Full HD,VGA Support | HDMI,Brightness: 250 nits,"?10,999","?16,510",,,
